filename,extraction_date,extraction_method,num_pages,language,success,error,input_path,output_path
ipid-moto-todo-riesgo-sin-franquicia.pdf,2025-05-06T18:05:24.001825,pymupdf_blocks,2,es,True,,data\raw\ipid-moto-todo-riesgo-sin-franquicia.pdf,data\processed\ipid-moto-todo-riesgo-sin-franquicia.txt
ipid-optimo.pdf,2025-05-06T18:05:24.043808,pymupdf_blocks,2,es,True,,data\raw\ipid-optimo.pdf,data\processed\ipid-optimo.txt
ipid-tr-con-franquicia.pdf,2025-05-06T18:05:24.075047,pymupdf_blocks,2,es,True,,data\raw\ipid-tr-con-franquicia.pdf,data\processed\ipid-tr-con-franquicia.txt
maquinaria-basico-ipid.pdf,2025-05-06T18:05:24.131241,pymupdf_blocks,2,es,True,,data\raw\maquinaria-basico-ipid.pdf,data\processed\maquinaria-basico-ipid.txt
maquinaria-terceros-ipid.pdf,2025-05-06T18:05:24.177124,pymupdf_blocks,2,es,True,,data\raw\maquinaria-terceros-ipid.pdf,data\processed\maquinaria-terceros-ipid.txt
remolque-basico-ipid.pdf,2025-05-06T18:05:24.221405,pymupdf_blocks,2,es,True,,data\raw\remolque-basico-ipid.pdf,data\processed\remolque-basico-ipid.txt
remolque-basico-robo-ipid.pdf,2025-05-06T18:05:24.260495,pymupdf_blocks,2,es,True,,data\raw\remolque-basico-robo-ipid.pdf,data\processed\remolque-basico-robo-ipid.txt
remolque-perdida-total-ipid.pdf,2025-05-06T18:05:24.308995,pymupdf_blocks,2,es,True,,data\raw\remolque-perdida-total-ipid.pdf,data\processed\remolque-perdida-total-ipid.txt
remolque-todo-riesgo-franquicia-ipid.pdf,2025-05-06T18:05:24.343333,pymupdf_blocks,2,es,True,,data\raw\remolque-todo-riesgo-franquicia-ipid.pdf,data\processed\remolque-todo-riesgo-franquicia-ipid.txt
remolque-todo-riesgo-ipid.pdf,2025-05-06T18:05:24.394349,pymupdf_blocks,2,es,True,,data\raw\remolque-todo-riesgo-ipid.pdf,data\processed\remolque-todo-riesgo-ipid.txt
semirremolque-basico-ipid.pdf,2025-05-06T18:05:24.428305,pymupdf_blocks,2,es,True,,data\raw\semirremolque-basico-ipid.pdf,data\processed\semirremolque-basico-ipid.txt
semirremolque-basico-robo-ipid.pdf,2025-05-06T18:05:24.459549,pymupdf_blocks,2,es,True,,data\raw\semirremolque-basico-robo-ipid.pdf,data\processed\semirremolque-basico-robo-ipid.txt
semirremolque-perdida-total-ipid.pdf,2025-05-06T18:05:24.510390,pymupdf_blocks,2,es,True,,data\raw\semirremolque-perdida-total-ipid.pdf,data\processed\semirremolque-perdida-total-ipid.txt
semirremolque-todo-riesgo-franquicia-ipid.pdf,2025-05-06T18:05:24.551748,pymupdf_blocks,2,es,True,,data\raw\semirremolque-todo-riesgo-franquicia-ipid.pdf,data\processed\semirremolque-todo-riesgo-franquicia-ipid.txt
semirremolque-todo-riesgo-ipid.pdf,2025-05-06T18:05:24.577407,pymupdf_blocks,2,es,True,,data\raw\semirremolque-todo-riesgo-ipid.pdf,data\processed\semirremolque-todo-riesgo-ipid.txt
turismo-comercial-basico-ipid.pdf,2025-05-06T18:05:24.625895,pymupdf_blocks,2,es,True,,data\raw\turismo-comercial-basico-ipid.pdf,data\processed\turismo-comercial-basico-ipid.txt
turismo-comercial-basico-robo-ipid.pdf,2025-05-06T18:05:24.667033,pymupdf_blocks,2,es,True,,data\raw\turismo-comercial-basico-robo-ipid.pdf,data\processed\turismo-comercial-basico-robo-ipid.txt
turismo-comercial-perdida-total-ipid.pdf,2025-05-06T18:05:24.695012,pymupdf_blocks,2,es,True,,data\raw\turismo-comercial-perdida-total-ipid.pdf,data\processed\turismo-comercial-perdida-total-ipid.txt
turismo-comercial-todo-riesgo-franquicia-ipid.pdf,2025-05-06T18:05:24.744084,pymupdf_blocks,2,es,True,,data\raw\turismo-comercial-todo-riesgo-franquicia-ipid.pdf,data\processed\turismo-comercial-todo-riesgo-franquicia-ipid.txt
turismo-comercial-todo-riesgo-ipid.pdf,2025-05-06T18:05:24.784963,pymupdf_blocks,2,es,True,,data\raw\turismo-comercial-todo-riesgo-ipid.pdf,data\processed\turismo-comercial-todo-riesgo-ipid.txt
